name,latitude,longitude,threshold,event_date,geps_init_date,lead_time_days,event_flag,amd_tmp_min,percentile
Oketo,43.697422,143.620209,3.0,2025-04-25,2025-04-20,5,1,1.60,36.9
Oketo,43.697422,143.620209,3.0,2025-04-26,2025-04-20,6,1,-0.10,11.2
Oketo,43.697422,143.620209,3.0,2025-04-27,2025-04-20,7,1,0.30,20.5
Oketo,43.697422,143.620209,3.0,2025-04-28,2025-04-20,8,1,-2.20,4.1
Oketo,43.697422,143.620209,3.0,2025-04-29,2025-04-20,9,1,0.20,13.6
Oketo,43.697422,143.620209,3.0,2025-04-30,2025-04-20,10,1,-0.10,9.1
Oketo,43.697422,143.620209,3.0,2025-05-01,2025-04-20,11,1,0.60,6.7
Oketo,43.697422,143.620209,3.0,2025-05-02,2025-04-20,12,0,3.40,27.7
Oketo,43.697422,143.620209,3.0,2025-05-03,2025-04-20,13,0,8.30,23.2
Oketo,43.697422,143.620209,3.0,2025-05-04,2025-04-20,14,0,4.30,20.8
Oketo,43.697422,143.620209,3.0,2025-05-05,2025-04-20,15,0,3.90,22.9
Oketo,43.697422,143.620209,3.0,2025-05-06,2025-04-20,16,1,2.00,10.3
Bihoro,43.812070,144.135932,-1.0,2025-04-20,2025-04-20,0,0,3.50,0.0
Bihoro,43.812070,144.135932,-1.0,2025-04-21,2025-04-20,1,0,0.60,0.0
Bihoro,43.812070,144.135932,-1.0,2025-04-22,2025-04-20,2,0,0.30,6.2
Bihoro,43.812070,144.135932,-1.0,2025-04-23,2025-04-20,3,0,0.30,3.0
Bihoro,43.812070,144.135932,-1.0,2025-04-24,2025-04-20,4,1,-1.80,0.9
Bihoro,43.812070,144.135932,-1.0,2025-04-25,2025-04-20,5,0,3.50,7.8
Bihoro,43.812070,144.135932,-1.0,2025-04-26,2025-04-20,6,0,0.90,3.3
Bihoro,43.812070,144.135932,-1.0,2025-04-27,2025-04-20,7,0,0.50,2.5
Bihoro,43.812070,144.135932,-1.0,2025-04-28,2025-04-20,8,0,0.30,10.7
Bihoro,43.812070,144.135932,-1.0,2025-04-29,2025-04-20,9,0,0.40,4.6
Bihoro,43.812070,144.135932,-1.0,2025-04-30,2025-04-20,10,0,0.40,3.6
Bihoro,43.812070,144.135932,-1.0,2025-05-01,2025-04-20,11,0,0.30,1.7
Bihoro,43.812070,144.135932,-1.0,2025-05-02,2025-04-20,12,0,4.10,1.8
Bihoro,43.812070,144.135932,-1.0,2025-05-03,2025-04-20,13,0,8.70,2.0
Bihoro,43.812070,144.135932,-1.0,2025-05-04,2025-04-20,14,0,5.20,2.3
Bihoro,43.812070,144.135932,-1.0,2025-05-05,2025-04-20,15,0,3.80,2.1
Bihoro,43.812070,144.135932,-1.0,2025-05-06,2025-04-20,16,0,3.50,1.6
Bihoro,43.812070,144.135932,3.0,2025-04-20,2025-04-20,0,0,3.50,0.6
Bihoro,43.812070,144.135932,3.0,2025-04-21,2025-04-20,1,1,0.60,93.3
Bihoro,43.812070,144.135932,3.0,2025-04-22,2025-04-20,2,1,0.30,94.1
Bihoro,43.812070,144.135932,3.0,2025-04-23,2025-04-20,3,1,0.30,18.6
Bihoro,43.812070,144.135932,3.0,2025-04-24,2025-04-20,4,1,-1.80,0.9
Bihoro,43.812070,144.135932,3.0,2025-04-25,2025-04-20,5,0,3.50,62.6
Bihoro,43.812070,144.135932,3.0,2025-04-26,2025-04-20,6,1,0.90,20.2
Bihoro,43.812070,144.135932,3.0,2025-04-27,2025-04-20,7,1,0.50,17.4
Bihoro,43.812070,144.135932,3.0,2025-04-28,2025-04-20,8,1,0.30,23.7
Bihoro,43.812070,144.135932,3.0,2025-04-29,2025-04-20,9,1,0.40,12.9
Bihoro,43.812070,144.135932,3.0,2025-04-30,2025-04-20,10,1,0.40,10.0
Bihoro,43.812070,144.135932,3.0,2025-05-01,2025-04-20,11,1,0.30,4.4
Bihoro,43.812070,144.135932,3.0,2025-05-02,2025-04-20,12,0,4.10,21.6
Bihoro,43.812070,144.135932,3.0,2025-05-03,2025-04-20,13,0,8.70,23.5
Bihoro,43.812070,144.135932,3.0,2025-05-04,2025-04-20,14,0,5.20,20.7
Bihoro,43.812070,144.135932,3.0,2025-05-05,2025-04-20,15,0,3.80,19.6
Bihoro,43.812070,144.135932,3.0,2025-05-06,2025-04-20,16,0,3.50,13.4
Mori,42.076431,140.586743,-1.0,2025-04-20,2025-04-20,0,0,3.70,0.0
Mori,42.076431,140.586743,-1.0,2025-04-21,2025-04-20,1,0,2.10,0.0
Mori,42.076431,140.586743,-1.0,2025-04-22,2025-04-20,2,0,1.70,0.0
Mori,42.076431,140.586743,-1.0,2025-04-23,2025-04-20,3,0,6.00,0.0
Mori,42.076431,140.586743,-1.0,2025-04-24,2025-04-20,4,0,6.90,0.0
Mori,42.076431,140.586743,-1.0,2025-04-25,2025-04-20,5,0,7.40,0.0
Mori,42.076431,140.586743,-1.0,2025-04-26,2025-04-20,6,0,7.00,0.0
Mori,42.076431,140.586743,-1.0,2025-04-27,2025-04-20,7,0,2.70,0.0
Mori,42.076431,140.586743,-1.0,2025-04-28,2025-04-20,8,0,0.80,0.0
Mori,42.076431,140.586743,-1.0,2025-04-29,2025-04-20,9,0,5.30,0.1
Mori,42.076431,140.586743,-1.0,2025-04-30,2025-04-20,10,0,2.00,0.3
Mori,42.076431,140.586743,-1.0,2025-05-01,2025-04-20,11,0,0.60,0.1
Mori,42.076431,140.586743,-1.0,2025-05-02,2025-04-20,12,0,6.20,0.0
Mori,42.076431,140.586743,-1.0,2025-05-03,2025-04-20,13,0,9.50,0.0
Mori,42.076431,140.586743,-1.0,2025-05-04,2025-04-20,14,0,6.80,0.0
Mori,42.076431,140.586743,-1.0,2025-05-05,2025-04-20,15,0,7.40,0.0
Mori,42.076431,140.586743,-1.0,2025-05-06,2025-04-20,16,0,6.20,0.0
Mori,42.076431,140.586743,3.0,2025-04-20,2025-04-20,0,0,3.70,0.0
Mori,42.076431,140.586743,3.0,2025-04-21,2025-04-20,1,1,2.10,0.0
Mori,42.076431,140.586743,3.0,2025-04-22,2025-04-20,2,1,1.70,8.8
Mori,42.076431,140.586743,3.0,2025-04-23,2025-04-20,3,0,6.00,1.3
Mori,42.076431,140.586743,3.0,2025-04-24,2025-04-20,4,0,6.90,8.2
Mori,42.076431,140.586743,3.0,2025-04-25,2025-04-20,5,0,7.40,6.2
Mori,42.076431,140.586743,3.0,2025-04-26,2025-04-20,6,0,7.00,15.2
Mori,42.076431,140.586743,3.0,2025-04-27,2025-04-20,7,1,2.70,25.1
Mori,42.076431,140.586743,3.0,2025-04-28,2025-04-20,8,1,0.80,0.3
Mori,42.076431,140.586743,3.0,2025-04-29,2025-04-20,9,0,5.30,23.6
Mori,42.076431,140.586743,3.0,2025-04-30,2025-04-20,10,1,2.00,9.8
Mori,42.076431,140.586743,3.0,2025-05-01,2025-04-20,11,1,0.60,1.1
Mori,42.076431,140.586743,3.0,2025-05-02,2025-04-20,12,0,6.20,9.0
Mori,42.076431,140.586743,3.0,2025-05-03,2025-04-20,13,0,9.50,6.1
Mori,42.076431,140.586743,3.0,2025-05-04,2025-04-20,14,0,6.80,3.8
